,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
96,Suzuki Gixxer SF,NaN,13.6 PS,Rs.1.37 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/gixxer-sf,,
97,Suzuki Avenis,NaN,8.7 PS,"Rs.87,500 ","Rs. 89,300*",https://www.bikedekho.com/suzuki/avenis,,
98,Suzuki Gixxer SF 250,NaN,26.5 PS,Rs.1.92 Lakh,Rs. 1.93 Lakh*,https://www.bikedekho.com/suzuki/gixxer-250,,
99,Suzuki V-Strom SX,NaN,26.5 PS,Rs.2.12 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/v-strom-250,,
100,Suzuki V-Strom 650XT,NaN,NaN,Rs.8.88 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/v-strom-650,,
101,Suzuki Gixxer 250,NaN,26.5 PS,Rs.1.81 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/gixxer250,,
102,Suzuki Katana,NaN,NaN,Rs.13.61 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/katana,,
103,KTM 200 Duke,NaN,25.83 PS,Rs.1.92 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/duke-200,,
104,KTM 390 Duke,NaN,43.5 PS,Rs.2.96 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/duke-390,,
105,KTM 125 Duke,46.92 kmpl,14.5 PS,Rs.1.78 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/125-duke,,
106,KTM 250 Duke,41 kmpl,30 PS,Rs.2.37 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/duke-250,,
107,2022 KTM RC 390,25.89 kmpl,43.5 PS,Rs.3.16 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/rc-390,,
108,KTM 390 Adventure,NaN,25 PS,Rs.2.15 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/390-adventure,,
109,KTM RC 200,NaN,43.5 PS,Rs.3.37 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/rc-200,,
110,KTM 250 Adventure,38.12 kmpl,30 PS,Rs.2.44 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/250-adventure,,
111,KTM RC 125,NaN,14.5 PS,Rs.1.89 Lakh*,Rs.NaN,https://www.bikedekho.com/ktm/rc-125,,
112,Jawa 42 Bobber,30.56 kmpl,30.64 PS,Rs.2.09 Lakh*,Rs.NaN,https://www.bikedekho.com/jawa-motorcycles/42-bobber,,
113,Jawa Forty Two,NaN,27.33 PS,Rs.1.67 Lakh,Rs. 1.81 Lakh*,https://www.bikedekho.com/jawa-motorcycles/42,,
114,Jawa Perak,34.05 kmpl,30. 64 PS,Rs.2.09 Lakh*,Rs.NaN,https://www.bikedekho.com/jawa-motorcycles/jawa-perak,,
115,Jawa,NaN,27.33 PS,Rs.1.80 Lakh,Rs. 1.96 Lakh*,https://www.bikedekho.com/jawa-motorcycles/jawa-300,,
116,Jawa 42 2.1,NaN,27. 33  PS,Rs.1.94 Lakh*,Rs.NaN,https://www.bikedekho.com/jawa-motorcycles/jawa-forty-two,,
117,Mahindra Mojo 300 BS6,NaN,25.72 PS,Rs.2.08 Lakh,Rs. 2.11 Lakh*,https://www.bikedekho.com/mahindra/mojo-300,,
118,Harley Davidson Iron 883,20.8 kmpl,51.6 PS,Rs.11.99 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/iron-883,,
119,Harley Davidson Forty Eight,19.2 kmpl,66.6 PS,Rs.13.49 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/forty-eight,,
120,Harley Davidson Fat Boy 114,18.1 kmpl,95.1 PS,Rs.21.99 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/fat-boy,,
121,Harley Davidson Sportster S,19.6 kmpl,122.3 PS,Rs.16.51 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/custom-1250,,
122,Harley Davidson Street Glide Special,16.3 kmpl,93.8 PS,Rs.33.99 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/street-glide,,
123,Harley Davidson Nightster,19.6 kmpl,89.7 PS,Rs.14.99 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/nightster,,
124,Harley Davidson Road King,16.6 kmpl,84.2 PS,Rs.28.49 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/road-king,,
125,Harley Davidson Fat Bob,18.1 kmpl,93.8 PS,Rs.17.99 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/fat-bob,,
126,Harley Davidson Heritage Classic,18.1 kmpl,95.1 PS,Rs.23.49 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/heritage-softail-classic,,
127,Harley Davidson Road Glide Special,16.3 kmpl,93.8 PS,Rs.36.99 Lakh*,Rs.NaN,https://www.bikedekho.com/harley-davidson/road-glide-special,,
128,Harley Davidson Pan America 1250,18.1 kmpl,152 PS,Rs.18.25 Lakh,Rs. 20.99 Lakh*,https://www.bikedekho.com/harley-davidson/pan-america-1250,,
129,Ducati Panigale V4,13.1 kmpl,218.48 PS,Rs.26.49 Lakh,Rs. 40.99 Lakh*,https://www.bikedekho.com/ducati/panigale-v4,,
130,Ducati Scrambler 800,20 kmpl,74.01 PS,Rs.8.89 Lakh,Rs. 11.49 Lakh*,https://www.bikedekho.com/ducati/scrambler,,
131,Ducati Diavel 1260,NaN,164.2 PS,Rs.17.91 Lakh*,Rs.NaN,https://www.bikedekho.com/ducati/diavel-1260,,
132,Ducati DesertX,NaN,111.52 PS,Rs.12.49 Lakh,Rs. 12.69 Lakh*,https://www.bikedekho.com/ducati/desertx,,
133,Ducati Monster,NaN,111.4 PS,Rs.14.75 Lakh,Rs. 17.99 Lakh*,https://www.bikedekho.com/ducati/monster,,
